topic,total_papers,growth_rate,growth_rate_3mo,surge_ratio,p_value,p_value_3mo,hot,cold,topic_label
0,60,0.0426,0.0,2.2727,0.0,1.0,False,False,"Genetic, Ai, Model"
1,45,0.0432,-0.5,1.4815,0.0,0.0,False,True,"Histopathology, Images, Histology"
2,34,0.0314,-0.45,1.634,0.000259,0.121038,False,True,"Aging, Clocks, Brain"
3,16,0.052,0.0,2.8986,1e-06,1.0,False,False,"Ovary, Ovarian, Cell"
4,39,0.0187,-0.3,0.7092,0.002639,0.333333,False,True,"Cell, Cellular, Expression"
5,38,0.0466,-0.1731,3.869,0.0,0.121038,False,True,"Learning, Ai, Multimodal"
6,53,0.026,-0.75,1.0482,1.2e-05,0.073186,False,True,"Tissue, Human, Atlas"
7,16,0.0207,0.0,1.0638,0.020438,,False,False,"Immune, Cells, Health"
8,34,0.0198,-0.3333,1.4851,0.003878,0.0,False,True,"Deep learning, Deep, Learning"
9,22,0.0432,-0.9,1.2626,7.7e-05,0.121038,False,True,"Omics, Spatial omics, Spatial"
10,32,0.0201,-0.75,0.6768,0.007447,0.333333,False,True,"Single, Cell, Single cell"
11,38,0.0131,-0.625,1.7699,0.086732,0.212296,False,True,"Cancer, Spatial, Tumor"
12,53,0.0401,-0.0882,1.8047,0.0,0.333333,False,False,"Spatial, Transcriptomics, Spatial transcriptomics"
13,35,0.0247,-0.4091,1.7628,5e-05,0.121038,False,True,"Senescent, Cancer, Reveals"
15,27,0.0208,0.5,1.2821,0.016532,0.0,True,False,"Human, Telomere, Telomere length"
16,47,0.0176,-0.375,0.9697,0.000495,0.333333,False,True,"Aging, Senescence, Human"
17,30,0.0278,0.0,1.3109,6.1e-05,1.0,False,False,"Spatial, Spatial omics, Omics"
18,41,0.0377,-0.1154,1.8207,0.0,0.787704,False,True,"Pathology, Foundation, Model"
19,51,0.0349,-0.1579,2.0833,0.0,0.333333,False,True,"Aging, Age, Biological"
