topic,total_papers,growth_rate,growth_rate_3mo,surge_ratio,p_value,p_value_3mo,hot,cold,topic_label
1,14,0.0235,0.4,0.7416,0.090715,0.225403,True,False,"andre, andre gave, gave talk"
2,12,0.0532,-0.88,1.5278,0.000111,0.053271,False,True,"welcome, lisa, congratulations"
3,7,0.0586,0.8,1.1,0.002201,0.105573,True,False,"cemm, 2025, took"
4,11,0.0692,0.08,1.7187,7e-05,0.741801,False,False,"lab, joins lab, joins"
5,14,0.0314,0.24,1.358,0.008056,0.225403,True,False,"lazyslide, open, source"
7,5,0.0552,0.0,0.0,0.047769,,False,False,"lbi netmed, lbi, netmed"
